intent,snippet
selenium: wait until text in webelement changes,"wait.until(EC.visibility_of_element_located((By.CLASS_NAME, 'searchbox')))"
select rows from a dataframe based on values in a column in pandas,df.loc[df['column_name'].isin(some_values)]
outer product of each column of a 2d `x` array to form a 3d array `x`,"np.einsum('ij,kj->jik', X, X)"
python: how to download a zip file,f.close()
find all anchor tags in html `soup` whose url begins with `http://www.iwashere.com`,"soup.find_all('a', href=re.compile('http://www\\.iwashere\\.com/'))"
writing hex data into a file,"f.write(bytes((i,)))"
how to find children of nodes using beautiful soup,"soup.find_all('li', {'class': 'test'}, recursive=False)"
return value while using cprofile,"cP.runctx('a=foo()', globals(), locales())"
"convert a list of characters `['a', 'b', 'c', 'd']` into a string",""""""""""""".join(['a', 'b', 'c', 'd'])"
opening and reading a file with askopenfilename,f.close()
how to implement pandas groupby filter on mixed type data?,df = df[df['Found'] == 'No Match']
how can i handle an alert with ghostdriver via python?,driver.execute_script('%s' % js)
how to remove decimal points in pandas,df.round()
rounding a number in python but keeping ending zeros,"""""""{:.2f}"""""".format(round(2606.89579999999, 2))"
print the truth value of `a`,print(bool(a))
"drop rows whose index value in list `[1, 3]` in dataframe `df`","df.drop(df.index[[1, 3]], inplace=True)"
removing duplicate strings from a list in python,a = list(set(a))
append string to the start of each value in a said column of a pandas dataframe (elegantly),df['col'] = 'str' + df['col'].astype(str)
get the sum of values to the power of their indices in a list `l`,"sum(j ** i for i, j in enumerate(l, 1))"
return a list of weekdays,weekdays('Wednesday')
importing a python package from a script with the same name,"sys.path.insert(0, '..')"
"difference between using commas, concatenation, and string formatters in python","print('I am printing {} and {}'.format(x, y))"
adding url to mysql row in python,"cursor.execute('INSERT INTO `index`(url) VALUES(%s)', (url,))"
getting a list with new line characters,"pattern = re.compile('(.)\\1?', re.IGNORECASE | re.DOTALL)"
how to install python packages in virtual environment only with virtualenv bootstrap script?,"subprocess.call(['pip', 'install', '-E', home_dir, 'django'])"
properly quit a program,sys.exit(0)
"extract file name from path, no matter what the os/path format",print(os.path.basename(your_path))
python equivalent for hashmap,my_dict = {'cheese': 'cake'}
how do you convert a python time.struct_time object into a iso string?,"time.strftime('%Y-%m-%dT%H:%M:%SZ', timetup)"
constructing a python set from a numpy matrix,y = set(x.flatten())
open image 'picture.jpg',"img = Image.open('picture.jpg')
img.show()"
how to add group labels for bar charts in matplotlib?,ax.set_xticklabels(x)
sorting dictionary by numeric value,"sorted(list(tag_weight.items()), key=lambda x: int(x[1]), reverse=True)"
how can i find a process by name and kill using ctypes?,subprocess.call('taskkill /IM exename.exe')
return common element indices between two numpy arrays,"numpy.nonzero(numpy.in1d(a2, a1))[0]"
finding index of maximum value in array with numpy,x[np.where(x == 5)]
how can i format a float using matplotlib's latex formatter?,"ax.set_title('${0} \\times 10^{{{1}}}$'.format('3.5', '+20'))"
how to subset a data frame using pandas based on a group criteria?,df.loc[df.groupby('User')['X'].filter(lambda x: x.sum() == 0).index]
"finding minimum, maximum and average values for nested lists?","max(PlayerList, key=lambda p: max(p[1:]))[0]"
how to design code in python?,duck.quack()
dot notation string manipulation,"re.sub('\\.[^.]+$', '', s)"
multi-column factorize in pandas,df.drop_duplicates()
how to calculate the axis of orientation?,plt.show()
communicate multiple times with a process without breaking the pipe?,proc.stdin.write('message2')
fill missing value in one column 'cat1' with the value of another column 'cat2',df['Cat1'].fillna(df['Cat2'])
how to write a lambda function that is conditional on two variables (columns) in python,"df['dummyVar '] = df['x'].where((df['x'] > 100) & (df['y'] < 50), df['y'])"
get all the texts without tags from beautiful soup object `soup`,""""""""""""".join(soup.findAll(text=True))"
how to find shortest path in a weighted graph using networkx?,"nx.dijkstra_path(g, 'b', 'b', 'distance')"
delete column from pandas dataframe,"df.drop('column_name', axis=1, inplace=True)"
testing whether a numpy array contains a given row,"equal([1, 2], a).all(axis=1)"
"how can i get the values that are common to two dictionaries, even if the keys are different?",list(set(dict_a.values()) & set(dict_b.values()))
changing the application and taskbar icon - python/tkinter,root.iconbitmap(default='ardulan.ico')
split a string `s` on last delimiter,"s.rsplit(',', 1)"
get last day of the second month in year 2012,"monthrange(2012, 2)"
is it possible to stream output from a python subprocess to a webpage in real time?,time.sleep(1)
convert python dictionary to json array,"json.dumps(your_data, ensure_ascii=False)"
utf-8 compatible compression in python,json.dumps({'compressedData': base64.b64encode(zString)})
print a list of integers `list_of_ints` using string formatting,"print(', '.join(str(x) for x in list_of_ints))"
how to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*+', '*', text)"
sort a list of tuples alphabetically and by value,"sorted(list_of_medals, key=lambda x: (-x[1], x[0]))"
how to modify a variable inside a lambda function?,"return myFunc(lambda a, b: iadd(a, b))"
python argparse with dependencies,"parser.add_argument('host', nargs=1, help='ip address to lookup')"
average values in two numpy arrays,"np.mean(np.array([old_set, new_set]), axis=0)"
combining two series in pandas along their index,"pd.concat([s1, s2], axis=1)"
what is a good size (in bytes) for a log file?,"RotatingFileHandler(filename, maxBytes=10 * 1024 * 1024, backupCount=5)"
force bash interpreter '/bin/bash' to be used instead of shell,"os.system('GREPDB=""echo 123""; /bin/bash -c ""$GREPDB""')"
how do i convert lf to crlf?,"txt.replace('\n', '\r\n')"
python tkinter: displays only a portion of an image,"self.canvas.create_image(0, 0, image=image1, anchor=NW)"
convert integer to binary,"map(int, bin(6)[2:])"
how to change legend size with matplotlib.pyplot,"pyplot.legend(loc=2, fontsize='x-small')"
how to convert a datetime string back to datetime object?,"datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')"
how to convert integer value to array of four bytes in python,"tuple(struct.pack('!I', number))"
remove elements from list `centroids` the indexes of which are in array `index`,"[element for i, element in enumerate(centroids) if i not in index]"
make function `writefunction` output nothing in curl `p`,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)"
add string in a certain position in python,s[:4] + '-' + s[4:]
python remove anything that is not a letter or number,"re.sub('[\\W_]+', '', s, flags=re.UNICODE)"
verify if a string is json in python?,"print(is_json('{""age"":100 }'))"
get a list of items in the list `container` with attribute equal to `value`,items = [item for item in container if item.attribute == value]
regular expression matching all but a string,"res = re.findall('-(?!(?:aa|bb)-)(\\w+)(?=-)', s)"
django - correct way to load a large default value in a model,schema = models.TextField(default=get_default_json)
how to perform element-wise multiplication of two lists in python?,ab = [(a[i] * b[i]) for i in range(len(a))]
python sorting - a list of objects,s.sort(key=operator.attrgetter('resultType'))
compare if an element exists in two lists,set(a).intersection(b)
how to convert numpy datetime64 into datetime,x.astype('M8[ms]').astype('O')
pandas - grouping intra day timeseries by date,"df.groupby(pd.TimeGrouper('D')).transform(np.cumsum).resample('D', how='ohlc')"
how do i abort the execution of a python script?,sys.exit()
python: how do i randomly select a value from a dictionary key?,"['Protein', 'Green', 'Squishy']"
how do i order fields of my row objects in spark (python),"rdd = sc.parallelize([(1, 2)])"
how can i fill a matplotlib grid?,"plt.plot(x, y, 'o')"
add scrolling to a platformer in pygame,pygame.display.update()
sorting the lists in list of lists `data`,[sorted(item) for item in data]
sorting a dictionary by highest value of nested list,"OrderedDict([('b', 7), ('a', 5), ('c', 3)])"
python: converting from tuple to string?,"s += '(' + ', '.join(map(str, tup)) + ')'"
"how do i launch a file in its default program, and then close it when the script finishes?","subprocess.Popen('start /WAIT ' + self.file, shell=True)"
how do i get the id of an object after persisting it in pymongo?,collection.remove({'_id': ObjectId('4c2fea1d289c7d837e000000')})
sorting a list of tuples such that grouping by key is not desired,"[(1, 2), (3, 4), (1, 3), (2, 4), (1, 4), (2, 3)]"
how to switch between python 2.7 to python 3 from command line?,print('hello')
convert datetime object to date object in python,datetime.datetime.now().date()
how to generate a list from a pandas dataframe with the column name and column values?,df.values.tolist()
how do i pass a variable by reference?,"print(('after, outer_list =', outer_list))"
reading data from text file with missing values,"genfromtxt('missing1.dat', delimiter=',')"
how to split a string at line breaks in python?,[row.split('\t') for row in s.splitlines()]
creating a dictionary from a csv file,"{'Date': ['Foo', 'Bar'], '123': ['456', '789'], 'abc': ['def', 'ghi']}"
how do i compare values in a dictionary?,"print(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))"
evaluate the expression '20<30',eval('20<30')
how to disable the minor ticks of log-plot in matplotlib?,plt.show()
copy list `old_list` and name it `new_list`,new_list = [x[:] for x in old_list]
how to make two markers share the same label in the legend using matplotlib?,ax.set_ylabel('Temperature ($^\\circ$C)')
how to store numerical lookup table in python (with labels),"{'_id': 'run_unique_identifier', 'param1': 'val1', 'param2': 'val2'}"
simple way to append a pandas series with same index,"pd.Series(np.concatenate([a, b]))"
converting a list of tuples into a dict in python,"{'a': [1, 2, 3], 'c': [1], 'b': [1, 2]}"
get digits in string `my_string`,""""""""""""".join(c for c in my_string if c.isdigit())"
python accessing values in a list of dictionaries,[d['Name'] for d in thisismylist]
"how to replace custom tabs with spaces in a string, depend on the size of the tab?","line = line.replace('\t', ' ')"
get modified time of file `file`,print(('last modified: %s' % time.ctime(os.path.getmtime(file))))
how to force os.system() to use bash instead of shell,"os.system('/bin/bash -c ""echo hello world""')"
convert list to lower-case,l = [item.lower() for item in l]
speed up loading 24-bit binary data into 16-bit numpy array,"output = np.frombuffer(data, 'b').reshape(-1, 3)[:, 1:].flatten().view('i2')"
sorting a defaultdict by value in python,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)"
create a list of tuples with adjacent list elements if a condition is true,"[(x, y) for x, y in zip(myList, myList[1:]) if y == 9]"
how to make an axes occupy multiple subplots with pyplot (python),plt.show()
python how can i get the timezone aware date in django,"localtime(now()).replace(hour=0, minute=0, second=0, microsecond=0)"
get a request parameter `a` in jinja2,{{request.args.get('a')}}
create a regular expression object with the pattern '\xe2\x80\x93',re.compile('\xe2\x80\x93')
convert a pandas dataframe to a dictionary,df.set_index('ID').T.to_dict('list')
how can i format a float using matplotlib's latex formatter?,"ax.set_title('$%s \\times 10^{%s}$' % ('3.5', '+20'))"
add columns in pandas dataframe dynamically,"df[[0, 2, 3]].apply(','.join, axis=1)"
can i sort text by its numeric value in python?,"sorted(list(mydict.keys()), key=lambda a: map(int, a.split('.')))"
resample intraday pandas dataframe without add new days,df.resample('30Min').dropna()
write a list of strings `row` to csv object `csvwriter`,csvwriter.writerow(row)
execute sql statement `sql` with values of dictionary `mydict` as parameters,"cursor.execute(sql, list(myDict.values()))"
empty a list `alist`,alist[:] = []
python: convert numerical data in pandas dataframe to floats in the presence of strings,"pd.read_csv(myfile.file, na_values=['na'])"
change the number of colors in matplotlib stylesheets,"plt.plot([10, 11, 12], 'y')"
regex to match space and a string until a forward slash,regexp = re.compile('^group/(?P<group>[^/]+)/users$')
replace backslashes in string `result` with empty string '',"result = result.replace('\\', '')"
how to find the difference between 3 lists that may have duplicate numbers,"Counter([1, 2, 2, 2, 3]) - Counter([1, 2])"
how to open an ssh tunnel using python?,"subprocess.call(['curl', 'http://localhost:2222'])"
python regex: xor operator,pattern = '(DT\\s+)+((RB\\s+)+|(JJ\\s+)+)(NN\\s*)*NN$'
split string `s` into float values and write sum to `total`,"total = sum(float(item) for item in s.split(','))"
set multi index on columns 'company' and 'date' of data frame `df` in pandas.,"df.set_index(['Company', 'date'], inplace=True)"
write multiple numpy arrays into csv file in separate columns?,"np.savetxt('output.dat', output, delimiter=',')"
get all combination of 3 binary values,"lst = list(itertools.product([0, 1], repeat=3))"
passing variable from javascript to server (django),user_location = request.POST.get('location')
extract dictionary from list of dictionaries based on a key's value.,[d for d in a if d['name'] == 'pluto']
how to post multiple files using flask test client?,upload_files = request.files.getlist('file')
can python test the membership of multiple values in a list?,"all(x in ['b', 'a', 'foo', 'bar'] for x in ['a', 'b'])"
combining rows in pandas by adding their values,df.groupby(df.index).sum()
how to round integers in python,"print(round(1123.456789, -1))"
viewing the content of a spark dataframe column,df.select('zip_code').show()
storing a file in the clipboard in python,Image('img.png').write('clipboard:')
"how do you pick ""x"" number of unique numbers from a list in python?","random.sample(list(range(1, 16)), 3)"
how to search help using python console,help('modules')
"generate a random number in 1 to 7 with a given distribution [0.1, 0.05, 0.05, 0.2, 0.4, 0.2]","numpy.random.choice(numpy.arange(1, 7), p=[0.1, 0.05, 0.05, 0.2, 0.4, 0.2])"
wxpython layout with sizers,"wx.Frame.__init__(self, parent)"
concatenating two one-dimensional numpy arrays,"numpy.concatenate((a, b))"
how to use sadd with multiple elements in redis using python api?,"r.sadd('a', *set([3, 4]))"
format print output of list of floats `l` to print only up to 3 decimal points,"print('[' + ', '.join('%5.3f' % v for v in l) + ']')"
python backreference regex,"""""""package ([^\\s]+)\\s+is([\\s\\S]*)end\\s+(package|\\1)\\s*;"""""""
"convert nested list of lists `[['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]` into a list of tuples","list(map(tuple, [['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]))"
trim whitespace (including tabs) in `s` on the left side,s = s.lstrip()
how do i use the 'json' module to read in one json object at a time?,list(json_parse(open('data')))
reductions down a column in pandas,"pd.concat([pd.Series(initial_value), cum_growth]).reset_index(drop=True)"
hexadecimal string to byte array in python,hex_string = 'deadbeef'
divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)"
python: how to generate a 12-digit random number?,""""""""""""".join(str(random.randint(0, 9)) for _ in range(12))"
how to order a list of lists by the first value,l1.sort(key=lambda x: int(x[0]))
converting string to ordered dictionary?,"OrderedDict([('last_modified', 'undefined'), ('id', '0')])"
pythonic way to get the largest item in a list,"max_item = max(a_list, key=operator.itemgetter(1))"
removing set identifier when printing sets in python,"print(', '.join(words))"
how to apply django/jinja2 template filters 'escape' and 'linebreaks' correctly?,{{my_variable | forceescape | linebreaks}}
redis: how to parse a list result,"myredis.lpush('foo', *[1, 2, 3, 4])"
create a tuple `t` containing first element of each tuple in tuple `s`,t = tuple(x[0] for x in s)
"get value for  ""username"" parameter in get request  in django","request.GET.get('username', '')"
python regex to match multiple times,"pattern = re.compile('(?:review: )?(http://url.com/(\\d+))\\s?', re.IGNORECASE)"
turning a string into list of positive and negative numbers,"tuple(map(int, inputstring.split(',')))"
retrieve indices of nan values in a pandas dataframe,s.groupby(level=0).apply(list)
python extract pattern matches,p = re.compile('name (.*) is valid')
"downloading an image, want to save to folder, check if file exists","urllib.request.urlretrieve('http://stackoverflow.com', filename)"
extract data from html table using python,"print(r.sub('\\1_STATUS = ""\\2""\\n\\1_TIME = \\3', content))"
how can i make a blank subplot in matplotlib?,plt.show()
"define a list with string values `['a', 'c', 'b', 'obj']`","['a', 'c', 'b', 'obj']"
concatenate lists `listone` and `listtwo`,(listone + listtwo)
python: how to know if two dictionary have the same keys,set(dic1.keys()) == set(dic2.keys())
pandas: joining items with same index,pd.DataFrame(df.groupby(level=0)['column_name'].apply(list).to_dict())
how to mount and unmount on windows,os.system('mount /dev/dvdrom /mount-point')
reverse a list `l`,L.reverse()
find all substrings in `mystring` beginning and ending with square brackets,"re.findall('\\[(.*?)\\]', mystring)"
formatting text to be justified in python 3.3 with .format() method,"""""""${:.2f}"""""".format(amount)"
how do i merge two lists into a single list?,"[j for i in zip(a, b) for j in i]"
color values in imshow for matplotlib?,plt.show()
how to strip white spaces in python without using a string method?,""""""""""""".join(str(x) for x in range(1, N + 1))"
pymongo: how to use $or operator to an column that is an array?,print(type(collection1.find_one()['albums'][0]))
"string formatting with ""{0:d}"" doesn't convert to integer","print('{0}, {0:s}, {0:d}, {0:02X}, {0:f}'.format(ten))"
"convert hex string ""ffff"" to decimal","int('FFFF', 16)"
get all object attributes of object `obj`,print((obj.__dict__))
selecting from multi-index pandas,"df1.iloc[:, (df1.columns.get_level_values('A') == 1)]"
how to convert nested list of lists into a list of tuples in python 3.3?,[tuple(l) for l in nested_lst]
regular expression match nothing,re.compile('$^')
python/matplotlib - is there a way to make a discontinuous axis?,ax.spines['right'].set_visible(False)
pandas histogram of filtered dataframe,df[df.TYPE == 'SU4'].GVW.hist(bins=50)
hide axis values in matplotlib,plt.show()
pycurl keeps printing in terminal,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)"
"how can i transform this (100, 100) numpy array into a grayscale sprite in pygame?",pygame.display.flip()
check if all boolean values in a python dictionary `dict` are true,all(dict.values())
merge columns within a dataframe that have the same name,"df.groupby(df.columns, axis=1).sum()"
telling python to save a .txt file to a certain directory on windows and mac,"os.path.join(os.path.expanduser('~'), 'Documents', completeName)"
a simple way to remove multiple spaces in a string in python,""""""" """""".join(foo.split())"
translating an integer into two-byte hexadecimal with python,"hex(struct.unpack('>H', struct.pack('>h', -200))[0])"
how to calculate quantiles in a pandas multiindex dataframe?,"df.groupby(level=[0, 1]).quantile()"
convert float to string without scientific notation and false precision,"format(5e-10, 'f')"
python - how can i pad a string with spaces from the right and left?,"""""""{:*^30}"""""".format('centered')"
grouping dates in django,return qs.values('date').annotate(Sum('amount')).order_by('date')
plot two histograms at the same time with matplotlib,plt.show()
read only the first line of a file?,fline = open('myfile').readline().rstrip()
reverse a list `array`,reversed(array)
finding non-numeric rows in dataframe in pandas?,"df.applymap(lambda x: isinstance(x, (int, float)))"
inserting json into mysql using python,"db.execute('INSERT INTO json_col VALUES %s', json_value)"
python - can lambda have more than one return,"lambda a, b: (a, b)"
how can i get the executable's current directory in py2exe?,SCRIPT_ROOT = os.path.dirname(os.path.realpath(__file__))
how to append in a json file in python?,"{'new_key': 'new_value', '67790': {'1': {'kwh': 319.4}}}"
"convert list of key-value tuples `[('a', 1), ('b', 2), ('c', 3)]` into dictionary","dict([('A', 1), ('B', 2), ('C', 3)])"
how to subtract two lists in python,"[(x1 - x2) for x1, x2 in zip(List1, List2)]"
"is there a way to perform ""if"" in python's lambda",lambda x: True if x % 2 == 0 else False
what's the easiest way to convert a list of hex byte strings to a list of hex integers?,"[int(x, 16) for x in ['BB', 'A7', 'F6', '9E']]"
django - accessing the requestcontext from within a custom filter,TEMPLATE_CONTEXT_PROCESSORS += 'django.core.context_processors.request'
how to plot two columns of a pandas data frame using points?,"df.plot(style=['o', 'rx'])"
pythonic way to access arbitrary element from dictionary,return next(iter(dictionary.values()))
how do i check if a string is valid json in python?,print(json.dumps(foo))
dealing with spaces in flask url creation,"{'south_carolina': 'SC', 'north_carolina': 'NC'}"
print a string `value` with string formatting,"print('Value is ""{}""'.format(value))"
sort keys of dictionary 'd' based on their values,"sorted(d, key=lambda k: d[k][1])"
"matplotlib plots: removing axis, legends and white spaces","plt.savefig('test.png', bbox_inches='tight')"
get a list of words `words` of a file 'myfile',words = open('myfile').read().split()
nest a flat list based on an arbitrary criterion,"[['tie', 'hat'], ['Shoes', 'pants', 'shirt'], ['jacket']]"
sqlalchemy select records of columns of table `my_table` in addition to current date column,"print(select([my_table, func.current_date()]).execute())"
how do i use django rest framework to send a file in response?,"return Response({'detail': 'this works', 'report': report_encoded})"
"for a dictionary `a`, set default value for key `somekey` as list and append value `bob`  in that key","a.setdefault('somekey', []).append('bob')"
get index of character in python list,"['a', 'b'].index('b')"
how to create python bytes object from long hex string?,s.decode('hex')
using matplotlib slider widget to change clim in image,plt.show()
how can i color python logging output?,logging.warn('a warning')
remove false entries from a dictionary `hand`,"{k: v for k, v in list(hand.items()) if v}"
how do i find information about a function in python?,help(function)
how can i memoize a class instantiation in python?,self.somevalue = somevalue
what's the shortest way to count the number of items in a generator/iterator?,sum(1 for i in it)
django return a queryset list containing the values of field 'eng_name' in model `employees`,"Employees.objects.values_list('eng_name', flat=True)"
print unicode string in python regardless of environment,print(s.encode('utf-8'))
how to resolve dns in python?,"exec(compile(open('C:\\python\\main_menu.py').read(), 'C:\\python\\main_menu.py', 'exec'))"
python - write to excel spreadsheet,"df.to_excel('test.xlsx', sheet_name='sheet1', index=False)"
python sum of ascii values of all characters in a string,sum(ord(c) for c in string)
how can i generate a list of consecutive numbers?,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
query all data from table `task` where the value of column `time_spent` is bigger than 3 hours,session.query(Task).filter(Task.time_spent > timedelta(hours=3)).all()
multiple files for one argument in argparse python 2.7,"parser.add_argument('file', nargs='*')"
find ordered vector in numpy array,"(e == np.array([1, 2])).all(-1)"
convert date format python,"datetime.datetime.strptime('10/05/2012', '%d/%m/%Y').strftime('%Y-%m-%d')"
use sched module to run at a given time,time.sleep(60)
using beautifulsoup to insert an element before closing body,"soup.body.insert(len(soup.body.contents), yourelement)"
how to combine calllater and addcallback?,reactor.run()
dict of dicts of dicts to dataframe,"pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)"
"iterate over a pair of iterables, sorted by an attribute","sorted(chain(a, b), key=lambda x: x.name)"
python: import a file from a subdirectory,__init__.py
creating a pandas dataframe from a dictionary,pd.DataFrame([record_1])
how to actually upload a file using flask wtf filefield,"file.save(os.path.join(app.config['UPLOAD_FOLDER'], filename))"
typeerror: can't use a string pattern on a bytes-like object,print(json.loads(line.decode()))
list comprehension replace for loop in 2d matrix,Cordi1 = [[int(i) for i in line.split()] for line in data]
formate current date and time to a string using pattern '%y-%m-%d %h:%m:%s',datetime.datetime.now().strftime('%Y-%m-%d %H:%M:%S')
write a string of 1's and 0's to a binary file?,"int('00100101', 2)"
how can i use a nested name as the __getitem__ index of the previous iterable in list comprehensions?,[x for i in range(len(l)) for x in l[i]]
join float list into space-separated string in python,"print(' '.join(map(str, a)))"
python: use regular expression to remove the white space from all lines,"re.sub('(?m)^[^\\S\\n]+', '', '  a\n b\n c\nd  e')"
get the first element of each tuple from a list of tuples `g`,[x[0] for x in G]
how to set environment variables in python,print(os.environ['DEBUSSY'])
"python, encoding output to utf-8",s.encode('utf8')
can i get a list of the variables that reference an other in python 2.7?,"['a', 'c', 'b', 'obj']"
implementing google's diffmatchpatch api for python 2/3,"[(0, 's'), (-1, 'tackoverflow is'), (1, 'o is very'), (0, ' cool')]"
pandas groupby: how to get a union of strings,df.groupby('A').apply(lambda x: x.sum())
how to limit the range of the x-axis with imshow()?,"ax1.set_xticks([int(j) for j in range(-4, 5)])"
python one line save values of lists in dict to list,list(itertools.chain.from_iterable(list(d.values())))
get unique values from a list in python,"a = ['a', 'b', 'c', 'd', 'b']"
perform a reverse cumulative sum on a numpy array,np.cumsum(x[::-1])[::-1]
print a rational number `3/2`,print('\n\x1b[4m' + '3' + '\x1b[0m' + '\n2')
sqlalchemy: filter by membership in at least one many-to-many related table,"session.query(ZKUser).filter(ZKUser.groups.any(ZKGroup.id.in_([1, 2, 3])))"
checking a list for a sequence,set(L[:4])
dictionary to lowercase in python,"dict((k.lower(), v) for k, v in {'My Key': 'My Value'}.items())"
split list `l` into `n` sized lists,"[l[i:i + n] for i in range(0, len(l), n)]"
convert binary string '\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@' to numpy array,"np.fromstring('\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@', dtype='<f4')"
how to write unicode strings into a file?,f.write('\u5e73\u621015')
get time of execution of a block of code in python 2.7,time.sleep(1)
fastest way to store large files in python,"gzip.GzipFile('output file name', 'wb')"
multivaluedictkeyerror in django,"request.GET.get('username', '')"
"parse a comma-separated string number '1,000,000' into int","int('1,000,000'.replace(',', ''))"
read a file from redirected stdin and save to variable `result`,result = sys.stdin.read()
how do i add a method with a decorator to a class in python?,MyClass().mymethod()
print letters in specific pattern in python,""""""""""""".join(i[1:] * int(i[0]) if i[0].isdigit() else i for i in l)"
convert pandas dataframe to a nested dict,df.to_dict()
executing a c program in python?,"call(['./spa', 'args', 'to', 'spa'])"
python: split string by list of separators,"re.split('\\s*,\\s*|\\s*;\\s*', 'a , b; cdf')"
how do i order fields of my row objects in spark (python),"sc.parallelize([Row(foo=1, bar=2)]).toDF().select('foo', 'bar')"
in pandas how do i convert a string of date strings to datetime objects and put them in a dataframe?,pd.to_datetime(pd.Series(date_stngs))
check if a key exists in a python list,"test(['important', 'comment', 'bar'])"
styling with classes in pyside + python,self.show()
how to include third party python libraries in google app engine?,"sys.path.insert(0, 'libs')"
how can i traverse a file system with a generator?,"print(os.path.join(root, name))"
remove items from a list while iterating,somelist[:] = [x for x in somelist if not determine(x)]
converting from a string to boolean in python?,str2bool('no')
"throw an exception ""i know python!""",raise Exception('I know Python!')
how can i restrict the scope of a multiprocessing process?,"mp.Process(target=foo, args=(x,)).start()"
how do i un-escape a backslash-escaped string in python?,"print('""Hello,\\nworld!""'.decode('string_escape'))"
take screenshot 'screen.png' on mac os x,os.system('screencapture screen.png')
python: find difference between two dictionaries containing lists,"{key: list(set(a[key]).difference(b.get(key, []))) for key in a}"
removing pairs of elements from numpy arrays that are nan (or another value) in python,np.isnan(a).any(1)
interactive matplotlib plot with two sliders,"ax.set_xlim([0, 1])"
how to get the seconds since epoch from the time + date output of gmtime() in python?,time.mktime(time.gmtime(0))
how to display full (non-truncated) dataframe information in html when converting from pandas dataframe to html?,"pd.set_option('display.max_colwidth', -1)"
combining two sorted lists in python,"[2.860386848449707, 2.758984088897705, 2.768254041671753]"
how to convert current date to epoch timestamp?,"t = time.mktime(time.strptime('29.08.2011 11:05:02', '%d.%m.%Y %H:%M:%S'))"
how should i take the max of 2 columns in a dataframe and make it another column?,"df[['A', 'B']].max(axis=1)"
single line nested for loops,"[50.1, 50.2, 50.3, 50.4, 60.1, 60.2, 60.3, 60.4, 70.1, 70.2, 70.3, 70.4]"
python: how do i convert an array of strings to an array of numbers?,"map(int, ['1', '-1', '1'])"
deleting mulitple columns in pandas,"yourdf.drop(['columnheading1', 'columnheading2'], axis=1, inplace=True)"
decode a urllib escaped url string `url` with `utf8`,url = urllib.parse.unquote(url).decode('utf8')
"python, encoding output to utf-8",content.decode('utf8')
wxpython: making something expand,self.SetSizer(sizer)
how to round each item in a list of floats to 2 decmial places,"myRoundedList = [round(elem, 2) for elem in myList]"
sorting dictionary keys in python,"my_list = sorted(list(dict.items()), key=lambda x: x[1])"
python - verifying if one list is a subset of the other,"set([1, 2, 2]).issubset([1, 2])"
print a big integer with punctions with python3 string formatting mini-language,"format(x, ',').replace(',', '.')"
using extensions with selenium (python),driver.get('http://stackoverflow.com')
calcuate mean for selected rows for selected columns in pandas data frame,"df.iloc[:, ([2, 5, 6, 7, 8])]"
how to find overlapping matches with a regexp?,"re.findall('(?=(\\w\\w))', 'hello')"
group by interval of datetime using pandas,"df['data'] = pd.to_datetime(df['data'], format='%d/%b/%Y:%H:%M:%S')"
what is the difference between a string and a byte string?,"""""""I am a string"""""".decode('ASCII')"
find row or column containing maximum value in numpy array,"np.argmax(np.max(x, axis=0))"
replace percent-encoded code in request `f` to their single-character equivalent,"f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))"
how do i update an instance of a django model with request.post if post is a nested array?,form.save()
python right click menu using pygtk,menu = gtk.Menu()
how can i add an additional row and column to an array?,"L.append([7, 8, 9])"
compare multiple columns in numpy array,"y[:, (cols)].sum()"
writing a list of sentences to a single column in csv with python,writer.writerow([item])
update all models at once in django,Model.objects.all().order_by('some_field').update(position=F(some_field) + 1)
how to create nested list from flatten list?,"[['a', 'b', 'c'], ['d', 'e', 'f', 'g'], ['d', 's', 'd', 'a']]"
sorting or finding max value by the second element in a nested list. python,"max(alkaline_earth_values, key=lambda x: x[1])"
add scrolling to a platformer in pygame,pygame.display.set_caption('Use arrows to move!')
python - arranging words in alphabetical order,sentence = [word.lower() for word in sentence]
"pandas sum by groupby, but exclude certain columns","df.groupby(['Country', 'Item_Code'])[['Y1961', 'Y1962', 'Y1963']].sum()"
"in python, is there a concise way to use a list comprehension with multiple iterators?","list(itertools.product(list(range(1, 3)), list(range(1, 5))))"
how to remove ^m from a text file and replace it with the next line,"somestring.replace('\\r', '')"
